energia;intensidad
4816,4;1,53E-05
4856,1;1,33E-05
4915,4;1,21E-05
4925,2;4,34E-06
4931,3;0,000002
4940,4;6,71E-07
4948,2;6,00E-07
4976;3,56E-07
5010,9;6,47E-07
5033,7;2,46E-06
5045,8;1,30E-05
5058,7;0,000039998
5078,5;0,000233
5087,9;0,00058
5122,5;0,00031996
5171,8;0,00020962
5214,3;0,00026
5220,3;0,000047706
5236,3;1,30E-05
5273,4;0,000010857
5329,6;0,000028118
5396,4;0,0001073
5450,4;0,00185
5581,5;0,047706
5499,5;0,0039069
5554,2;0,015999
5614,1;0,23
5655,1;0,85837
5694,5;9,4295
5720,87;30,8
5751,4;53,026
5767,3;69,1
