energy,unc_en,intensity,unc_i,daughter level H-l [sec],daughter level energy [keV], hindrance factor, unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
4816.4,,0.0000153,,,967.6,6.7,,94,142,Pu,,0,,0+,2.858,,8,Y,90189694.43538393,252455.407796736,A,100,,5867.15,8,92,140,U,1-Nov-2004,E. BROWNE,2025-05-21
4856,,0.0000133,,,927.3,15,,94,142,Pu,,0,,0+,2.858,,8,Y,90189694.43538393,252455.407796736,A,100,,5867.15,8,92,140,U,1-Nov-2004,E. BROWNE,2025-05-21
4915.4,,0.0000121,0.0000006,,866.9,41,,94,142,Pu,,0,,0+,2.858,,8,Y,90189694.43538393,252455.407796736,A,100,,5867.15,8,92,140,U,1-Nov-2004,E. BROWNE,2025-05-21
4948.2,,0.0000006,,,833.5,1400,,94,142,Pu,,0,,0+,2.858,,8,Y,90189694.43538393,252455.407796736,A,100,,5867.15,8,92,140,U,1-Nov-2004,E. BROWNE,2025-05-21
5033.5,,0.00000246,,,746.8,1260,,94,142,Pu,,0,,0+,2.858,,8,Y,90189694.43538393,252455.407796736,A,100,,5867.15,8,92,140,U,1-Nov-2004,E. BROWNE,2025-05-21
5045.5,,0.000013,0.000001,,734.56,286,,94,142,Pu,,0,,0+,2.858,,8,Y,90189694.43538393,252455.407796736,A,100,,5867.15,8,92,140,U,1-Nov-2004,E. BROWNE,2025-05-21
5087.9,,0.00058,0.0001,,691.45,12,,94,142,Pu,,0,,0+,2.858,,8,Y,90189694.43538393,252455.407796736,A,100,,5867.15,8,92,140,U,1-Nov-2004,E. BROWNE,2025-05-21
5214,,0.00026,0.00001,,563.2,171,,94,142,Pu,,0,,0+,2.858,,8,Y,90189694.43538393,252455.407796736,A,100,,5867.15,8,92,140,U,1-Nov-2004,E. BROWNE,2025-05-21
5236.1,,0.000013,0.000002,,540.7,4690,,94,142,Pu,,0,,0+,2.858,,8,Y,90189694.43538393,252455.407796736,A,100,,5867.15,8,92,140,U,1-Nov-2004,E. BROWNE,2025-05-21
5450.4,,0.00185,,,322.65,639,,94,142,Pu,,0,,0+,2.858,,8,Y,90189694.43538393,252455.407796736,A,100,,5867.15,8,92,140,U,1-Nov-2004,E. BROWNE,2025-05-21
5613.7,,0.23,,,156.54,44,,94,142,Pu,,0,,0+,2.858,,8,Y,90189694.43538393,252455.407796736,A,100,,5867.15,8,92,140,U,1-Nov-2004,E. BROWNE,2025-05-21
5720.87,0.1,30.8,0.3,0.000000000254,47.58,1.3,,94,142,Pu,,0,,0+,2.858,,8,Y,90189694.43538393,252455.407796736,A,100,,5867.15,8,92,140,U,1-Nov-2004,E. BROWNE,2025-05-21
5767.53,0.08,69.1,0.3,,0.0,1,,94,142,Pu,,0,,0+,2.858,,8,Y,90189694.43538393,252455.407796736,A,100,,5867.15,8,92,140,U,1-Nov-2004,E. BROWNE,2025-05-21

